work_year,experience_level,employment_type,job_title,salary_in_usd,company_location,company_size
0,0,0,0,0.85847,1,0
0,1,1,1,0.3,2,1
0,1,1,1,0.255,2,1
0,0,0,2,1.75,3,2
0,0,0,2,1.2,3,2
0,0,0,3,2.222,2,0
0,0,0,3,1.36,2,0
0,0,0,2,2.19,3,2
0,0,0,2,1.41,3,2
0,0,0,2,1.471,2,2
0,0,0,2,0.907,2,2
0,0,0,4,1.3,2,2
0,0,0,4,1.0,2,2
0,2,0,3,2.1366,2,0
0,2,0,3,1.3076,2,0
0,0,0,5,1.471,2,2
0,0,0,5,0.907,2,2
0,0,0,2,1.7,2,2
0,0,0,2,1.5,2,2
0,1,0,4,1.5,2,2
0,1,0,4,1.1,2,2
0,0,0,6,2.75,4,2
0,0,0,6,1.74,4,2
0,0,0,7,2.3,5,2
0,0,0,7,1.432,5,2
0,0,0,8,2.25,2,2
0,0,0,8,1.564,2,2
0,0,0,9,2.0,2,2
0,0,0,9,1.3,2,2
0,0,0,10,0.9,3,2
0,0,0,10,0.72,3,2
0,0,0,11,2.532,2,2
0,0,0,11,0.907,2,2
0,0,0,12,3.4281,2,2
0,0,0,12,1.8459,2,2
0,1,0,11,1.625,2,2
0,1,0,11,1.3,2,2
0,1,0,4,1.0538,2,2
0,1,0,4,0.645,2,2
0,2,0,13,1.0,6,0
0,2,0,14,0.3,6,0
1,1,0,9,0.20984,7,0
0,2,0,3,2.0462,2,0
0,2,0,3,1.1068,2,0
0,0,0,11,2.70703,2,2
0,0,0,11,2.21484,2,2
0,0,0,2,2.1275,2,2
0,0,0,2,1.85,2,2
0,0,0,2,2.62,2,2
0,0,0,2,2.45,2,2
0,0,0,2,2.753,2,2
0,0,0,2,1.835,2,2
0,0,0,2,2.185,2,2
0,0,0,2,1.99098,2,2
0,0,0,11,2.033,2,2
0,0,0,11,1.236,2,2
0,0,0,6,1.8911,2,2
0,0,0,6,1.39,2,2
0,3,0,2,2.5875,2,2
0,3,0,2,1.85,2,2
0,0,0,11,2.315,2,2
0,0,0,11,1.66,2,2
0,0,0,2,1.725,2,2
0,0,0,2,1.105,2,2
0,0,0,11,2.38,2,2
0,0,0,11,1.76,2,2
0,0,0,11,2.37,2,2
0,0,0,11,2.0145,2,2
0,0,0,3,3.094,2,0
0,0,0,3,1.591,2,0
0,0,0,11,1.15,2,2
0,0,0,11,0.815,2,2
0,0,0,2,2.37,2,2
0,0,0,2,2.0145,2,2
0,0,0,12,2.8,2,2
0,0,0,12,2.1,2,2
0,0,0,15,2.801,2,2
0,0,0,15,1.681,2,2
0,0,0,11,1.935,2,2
0,0,0,11,1.39,2,2
0,1,0,2,0.65062,8,0
0,0,0,9,1.5,2,2
0,1,0,16,0.69751,4,1
1,2,0,17,3.0,7,0
0,1,0,9,0.96578,9,0
0,0,0,8,1.859,2,2
0,0,0,8,1.293,2,2
0,0,0,11,2.25,2,2
0,0,0,11,1.75,2,2
0,0,0,11,1.85,2,2
0,0,0,11,1.4,2,2
0,0,0,2,0.48289,1,2
0,0,0,2,0.38631,1,2
0,0,0,2,1.05,2,2
0,0,0,2,0.7,2,2
0,2,0,9,1.63196,2,2
0,2,0,9,1.45885,2,2
0,0,0,11,2.17,2,2
0,0,0,11,1.85,2,2
0,0,0,4,2.028,2,0
0,0,0,4,1.043,2,0
0,0,0,4,1.45,2,2
0,0,0,4,0.65,2,2
0,0,0,11,1.65,2,2
0,0,0,11,1.323,2,2
0,0,0,11,1.7917,2,2
0,0,0,11,0.943,2,2
0,0,0,7,1.525,2,2
0,0,0,7,1.1645,2,2
0,0,0,11,2.473,2,2
0,0,0,11,1.338,2,2
0,0,0,6,2.03,2,2
0,0,0,6,1.33,2,2
0,2,0,18,2.2,2,0
1,2,0,9,0.56536,10,1
0,0,0,2,1.5,2,2
0,0,0,2,1.2,2,2
0,0,0,7,2.898,2,2
0,0,0,7,2.14,2,2
0,0,0,7,1.7982,2,2
0,0,0,7,1.4386,2,2
0,0,0,9,2.832,2,2
0,0,0,9,1.888,2,2
0,0,0,7,2.898,2,2
0,0,0,7,2.142,2,2
0,0,0,11,1.859,2,2
0,0,0,11,1.293,2,2
0,0,0,11,2.52,2,2
0,0,0,11,1.29,2,2
0,1,0,19,1.55,2,2
0,1,0,19,1.4,2,2
0,0,0,11,1.618,2,2
0,0,0,11,1.416,2,2
0,0,0,9,3.423,2,0
0,0,0,9,1.761,2,0
0,1,0,11,1.0,2,2
0,1,0,11,0.7,2,2
0,2,0,11,0.85,2,2
0,2,0,11,0.65,2,2
0,0,0,2,1.38784,2,2
0,0,0,2,0.8327,2,2
0,2,0,4,0.75,2,2
0,2,0,4,0.7,2,2
0,0,0,4,2.045,2,2
0,0,0,4,1.389,2,2
0,0,0,9,3.183,2,2
0,0,0,9,2.122,2,2
0,0,0,11,0.95,2,2
0,0,0,11,0.75,2,2
0,0,0,2,1.95,2,2
0,0,0,2,1.6,2,2
0,0,0,7,2.3,2,2
0,0,0,7,1.432,2,2
0,1,0,11,1.0,2,2
0,1,0,11,0.7,2,2
0,1,0,20,1.05,2,0
0,1,0,21,0.2067,7,0
0,1,0,4,0.46178,5,2
0,1,0,4,0.42533,5,2
0,0,0,11,1.45,2,2
0,0,0,11,1.15,2,2
0,0,0,4,1.684,2,2
0,0,0,4,1.052,2,2
0,0,0,3,3.094,2,0
0,0,0,3,1.591,2,0
0,0,0,9,1.9,2,2
0,0,0,9,1.5,2,2
0,1,0,11,1.625,2,2
0,1,0,11,1.3,2,2
0,0,0,7,1.5,2,2
0,0,0,7,1.2,2,2
0,0,0,11,1.45,2,2
0,0,0,11,1.2,2,2
0,0,0,3,2.222,2,0
0,0,0,3,1.36,2,0
0,0,0,4,0.54685,11,2
0,0,0,4,0.42533,11,2
0,0,0,11,2.41,2,2
0,0,0,11,1.55,2,2
0,0,0,11,2.2,2,2
0,0,0,11,1.9,2,2
0,1,0,2,0.66837,5,2
0,1,0,2,0.54685,5,2
2,3,0,22,0.15,3,2
0,1,0,23,0.85066,5,2
0,1,0,23,0.57723,5,2
0,2,0,4,0.85,2,2
0,2,0,4,0.75,2,2
0,0,0,11,1.6,2,2
0,0,0,11,1.4,2,2
0,1,0,9,3.0,2,2
0,1,0,9,2.5,2,2
0,0,0,2,2.28,2,2
0,0,0,2,1.86,2,2
0,0,0,2,1.9,2,2
0,0,0,2,1.7,2,2
0,1,0,6,2.3,2,2
0,1,0,6,2.0,2,2
0,0,0,15,1.8,2,2
0,0,0,15,1.15,2,2
0,0,0,15,2.0,2,2
0,0,0,15,1.15,2,2
0,0,0,24,0.53654,12,1
0,3,0,11,2.2,2,2
0,3,0,11,2.05,2,2
0,1,0,11,1.8,2,2
0,1,0,11,1.3,2,2
0,0,0,11,2.0,2,2
0,0,0,11,1.5,2,2
0,0,0,12,2.15,2,2
0,0,0,12,1.7,2,2
0,0,0,9,2.475,2,2
0,0,0,9,1.722,2,2
0,0,0,2,2.24,3,2
0,0,0,2,1.76,3,2
0,0,0,4,1.2,2,2
0,0,0,4,0.75,2,2
0,2,0,11,0.17022,7,0
0,0,0,21,0.68318,13,2
0,1,0,17,0.7502,13,2
0,0,0,4,1.4,2,2
0,0,0,4,1.2,2,2
0,0,0,11,1.28,2,2
0,0,0,11,0.815,2,2
0,0,0,11,1.45,2,2
0,0,0,11,1.15,2,2
0,0,0,11,1.85,2,2
0,0,0,11,1.4,2,2
0,3,0,25,3.295,2,2
0,3,0,25,2.696,2,2
0,0,0,13,1.0,2,2
0,0,0,13,0.8,2,2
0,0,0,2,2.5,2,2
0,0,0,2,1.625,2,2
0,1,0,17,2.0,2,2
0,0,0,11,1.45,2,2
0,0,0,11,1.0,2,2
0,3,0,11,1.45,2,2
0,3,0,11,1.15,2,2
0,0,0,2,2.035,2,2
0,0,0,2,1.52,2,2
0,0,0,2,2.39,2,0
0,0,0,2,1.229,2,0
0,0,0,2,2.37,2,2
0,0,0,2,1.45,2,2
0,0,0,26,1.91765,2,2
0,0,0,26,1.34236,2,2
0,0,0,7,1.9,2,2
0,0,0,7,1.12,2,2
1,0,0,2,0.88256,5,0
0,2,0,11,0.85,2,2
0,2,0,11,0.65,2,2
0,0,0,4,1.35,2,2
0,0,0,4,1.055,2,2
0,0,0,6,2.93,2,2
0,0,0,6,1.85,2,2
0,0,0,4,0.8,2,2
0,0,0,4,0.7,2,2
0,0,0,11,2.2,2,2
0,0,0,11,1.6,2,2
0,0,0,2,1.75,2,2
0,0,0,2,1.45,2,2
0,0,0,4,2.0,2,2
0,0,0,4,1.485,2,2
0,0,0,2,0.48289,1,2
0,0,0,2,0.38631,1,2
0,0,0,11,2.405,2,0
0,0,0,11,1.237,2,0
0,0,0,7,1.529,2,2
0,0,0,7,1.171,2,2
0,0,0,7,1.73,2,2
0,0,0,7,1.13,2,2
0,0,0,3,2.6,2,0
0,0,0,3,1.36,2,0
0,3,0,11,1.75,2,2
0,3,0,11,1.1,2,2
0,0,0,3,2.6,2,0
0,0,0,3,1.36,2,0
0,0,0,18,1.3,2,2
0,0,0,18,1.1,2,2
0,0,0,3,2.05,2,2
0,0,0,3,1.84,2,2
0,0,0,4,1.495,2,2
0,0,0,4,1.27075,2,2
0,0,0,2,1.95,2,2
0,0,0,2,1.6,2,2
0,0,0,11,2.19535,2,2
0,0,0,11,1.46115,2,2
0,0,0,2,1.7,2,2
0,0,0,2,1.35,2,2
0,0,0,2,1.75,2,2
0,0,0,2,1.45,2,2
0,0,0,2,1.99,2,2
0,0,0,2,1.62,2,2
0,0,0,3,2.222,2,0
0,0,0,3,1.36,2,0
0,3,0,7,2.21,2,2
0,3,0,7,1.53,2,2
0,0,0,4,1.87,2,2
0,0,0,4,1.28,2,2
0,0,0,18,2.1,2,2
0,0,0,18,1.36,2,2
0,0,0,2,1.75,2,2
0,0,0,2,1.0,2,2
0,0,0,11,1.79,2,2
0,0,0,11,1.09,2,2
0,0,0,2,2.45,2,2
0,0,0,2,1.8,2,2
0,0,0,4,1.42,2,2
0,0,0,4,0.75,2,2
0,0,0,27,1.988,2,2
0,0,0,27,1.052,2,2
0,0,0,4,1.25,2,2
0,0,0,4,1.12,2,2
0,0,0,2,2.1,2,2
0,0,0,2,1.55,2,2
0,0,0,27,1.15,2,2
0,0,0,27,0.86,2,2
0,0,0,2,1.65,2,2
0,0,0,2,1.4,2,2
0,0,0,4,1.39,2,2
0,0,0,4,1.06,2,2
0,2,0,4,0.40663,3,0
1,0,0,17,2.75,3,1
0,0,2,28,0.5,14,1
0,1,0,9,2.807,2,2
0,1,0,9,1.5045,2,2
0,2,0,2,0.51753,3,0
0,0,0,15,2.505,2,2
0,0,0,15,1.595,2,2
0,0,0,11,1.45,2,2
0,0,0,11,1.15,2,2
0,0,0,4,1.4,2,2
0,0,0,4,1.2,2,2
0,2,0,2,1.30001,2,2
0,2,0,2,0.71907,2,2
0,1,0,2,0.93918,2,2
0,1,0,2,0.51962,2,2
0,0,0,4,1.75,3,2
0,0,0,4,1.35,3,2
0,2,0,11,0.85,2,2
0,2,0,11,0.65,2,2
0,0,0,9,2.57,2,2
0,0,0,9,1.47,2,2
0,0,0,11,2.22,2,2
0,0,0,11,1.75,2,2
0,0,0,2,2.03,2,2
0,0,0,2,1.332,2,2
0,2,0,3,2.1366,2,0
0,2,0,3,1.3076,2,0
0,0,0,11,2.21,2,2
0,0,0,11,1.47,2,2
0,0,0,13,1.0,2,2
0,0,0,13,0.8,2,2
0,0,0,2,1.859,2,2
0,0,0,2,1.293,2,2
0,0,0,2,2.38,2,2
0,0,0,2,1.56,2,2
0,0,0,9,3.04,2,2
0,0,0,9,1.99,2,2
0,1,0,29,0.48289,1,2
0,0,0,11,1.5,2,2
0,0,0,11,1.3,2,2
0,0,0,2,1.4,2,2
0,0,0,2,1.1,2,2
0,1,0,4,0.9,2,2
0,1,0,4,0.75,2,2
0,1,0,18,1.95895,5,2
0,1,0,18,1.02772,5,2
0,0,0,11,2.4,2,2
0,0,0,11,1.836,2,2
0,1,0,30,1.3,2,2
0,1,0,30,0.8,2,2
0,0,0,11,2.5,2,2
0,0,0,11,1.5,2,2
0,0,0,19,1.6,2,2
0,0,0,19,1.2,2,2
0,0,0,9,2.89076,2,2
0,0,0,9,2.02353,2,2
0,0,0,11,1.45,2,2
0,0,0,11,1.2,2,2
0,0,0,4,1.55,2,2
0,0,0,4,1.06,2,2
0,0,0,11,2.0,2,2
0,0,0,11,1.6,2,2
0,0,0,2,1.5775,2,2
0,0,0,2,1.0465,2,2
0,1,0,2,1.8,2,2
0,1,0,2,1.4,2,2
0,3,0,2,2.0,2,2
0,3,0,2,1.45,2,2
0,1,0,31,0.68,2,0
0,2,0,32,0.6,2,2
0,0,0,2,0.48289,1,2
0,0,0,2,0.38631,1,2
0,2,0,11,0.85,2,2
0,2,0,11,0.65,2,2
0,1,0,11,1.25,2,2
0,1,0,11,0.9,2,2
0,0,0,4,1.05,2,2
0,0,0,4,0.9,2,2
0,0,0,7,1.7982,2,2
0,0,0,7,1.4386,2,2
0,0,0,4,1.35,2,2
0,0,0,4,1.055,2,2
0,2,0,6,1.55,2,2
0,2,0,6,1.25,2,2
0,0,0,9,2.41,2,2
0,0,0,9,1.81,2,2
0,0,0,2,2.52,2,2
0,0,0,2,1.54,2,2
0,3,0,15,1.8,2,2
0,3,0,15,1.55,2,2
0,0,0,2,1.91765,2,2
0,0,0,2,1.34236,2,2
0,0,0,2,1.75,2,2
0,0,0,2,1.45,2,2
0,0,0,2,2.37,2,2
0,0,0,2,1.45,2,2
0,2,0,6,1.55,2,2
0,2,0,6,1.25,2,2
0,0,0,4,0.8,2,2
0,0,0,4,0.7,2,2
0,0,0,11,1.46,2,2
0,0,0,11,0.75,2,2
0,2,0,4,0.642,2,2
0,2,0,4,0.561,2,2
0,0,0,9,1.7,2,2
0,0,0,9,1.3,2,2
0,0,0,4,2.0845,2,2
0,0,0,4,1.7055,2,2
0,0,0,9,1.25,2,2
0,0,0,9,1.0,2,2
0,1,0,27,1.35,2,2
0,1,0,27,1.2,2,2
0,0,0,2,2.0,2,2
0,0,0,2,1.7,2,2
0,0,0,2,1.7125,15,2
0,0,0,2,1.1375,15,2
0,0,0,3,2.222,2,0
0,0,0,3,1.36,2,0
0,0,0,3,2.6,2,0
0,0,0,3,1.36,2,0
0,0,0,4,1.536,2,2
0,0,0,4,1.005,2,2
0,0,0,3,2.05,2,2
0,0,0,3,1.84,2,2
0,0,0,9,1.15,3,2
0,0,0,9,0.95,3,2
0,1,0,4,1.825,2,2
0,1,0,4,1.215,2,2
0,0,0,11,2.031,2,2
0,0,0,11,1.145,2,2
0,1,0,4,0.72914,5,2
0,1,0,4,0.54685,5,2
0,0,0,11,2.52,2,2
0,0,0,11,1.29,2,2
0,2,0,11,0.927,2,2
0,2,0,11,0.618,2,2
0,0,0,11,1.6,2,2
0,0,0,11,1.3,2,2
0,0,0,2,2.58,3,2
0,0,0,2,1.9,3,2
0,0,0,2,1.7,2,2
0,0,0,2,1.35,2,2
0,1,0,15,1.675,2,2
0,1,0,15,1.065,2,2
0,0,0,2,1.95,2,2
0,0,0,2,1.6,2,2
0,1,0,11,1.46,2,2
0,1,0,11,0.75,2,2
1,2,0,11,0.59888,9,0
0,3,0,11,2.86,2,2
0,3,0,11,2.07,2,2
0,0,0,4,1.0,2,2
0,0,0,4,0.8,2,2
0,0,0,11,2.2325,2,2
0,0,0,11,1.786,2,2
0,3,0,33,3.532,2,2
0,3,0,33,2.493,2,2
0,1,0,34,2.3,2,2
0,1,0,34,2.2,2,2
0,0,0,2,2.973,2,2
0,0,0,2,1.982,2,2
0,1,0,18,2.1,2,2
0,1,0,18,1.518,2,2
0,0,0,2,2.0,2,2
0,0,0,2,1.7,2,2
0,0,0,2,3.1707,2,2
0,0,0,2,1.7073,2,2
0,0,0,11,1.28,2,2
0,0,0,11,0.815,2,2
0,2,0,20,0.21461,1,2
0,0,0,17,1.08,14,2
0,0,0,17,0.6,14,2
0,1,0,35,1.34,2,2
0,1,0,35,1.24,2,2
0,0,0,11,1.7125,2,2
0,0,0,11,1.1375,2,2
0,0,0,11,1.65,2,2
0,0,0,11,1.323,2,2
0,0,0,2,2.25,2,2
0,0,0,2,1.75,2,2
0,0,0,11,2.3,2,2
0,0,0,11,1.245,2,2
0,0,0,9,2.475,2,2
0,0,0,9,1.722,2,2
0,0,0,4,1.75,2,2
0,0,0,4,1.45,2,2
0,0,0,4,1.487,2,2
0,0,0,4,1.256,2,2
0,0,0,11,1.45,2,2
0,0,0,11,1.15,2,2
0,0,0,18,2.0,2,2
0,0,0,18,1.5,2,2
0,2,0,6,1.6,2,2
0,2,0,6,1.2,2,2
0,0,0,4,1.85,2,2
0,0,0,4,1.2025,2,2
0,0,0,2,2.753,2,2
0,0,0,2,1.83,2,2
0,0,0,15,1.7,2,2
0,0,0,15,1.25,2,2
0,1,0,15,1.675,2,2
0,1,0,15,1.065,2,2
0,0,0,18,2.5,2,2
0,0,0,18,2.0,2,2
0,1,0,9,1.35,2,0
0,0,0,36,4.23834,16,0
0,0,0,9,2.16,2,2
0,0,0,9,1.84,2,2
0,0,0,11,1.8,2,2
0,0,0,11,1.65,2,2
0,0,0,2,1.859,2,2
0,0,0,2,1.293,2,2
0,0,0,11,1.45,2,2
0,0,0,11,1.2,2,2
0,1,0,11,1.43865,2,2
0,1,0,11,1.15092,2,2
0,1,0,9,1.3,2,2
0,1,0,9,0.9,2,2
0,0,0,2,1.73,2,2
0,0,0,2,1.32,2,2
0,0,0,4,2.08049,2,2
0,0,0,4,1.285,2,2
0,0,0,7,1.7982,2,2
0,0,0,7,1.4386,2,2
0,0,0,11,1.675,2,2
0,0,0,11,1.065,2,2
0,0,0,2,2.753,2,2
0,0,0,2,1.835,2,2
0,1,0,11,1.496,2,2
0,1,0,11,1.02,2,2
0,3,0,2,1.45,2,2
0,3,0,2,1.0,2,2
0,0,0,4,1.9,2,2
0,0,0,4,0.95,2,2
0,0,0,4,1.536,2,2
0,0,0,4,1.068,2,2
0,1,0,2,0.96578,15,2
0,1,0,2,0.80481,15,2
0,1,0,4,1.28,2,2
0,1,0,4,0.85,2,2
0,1,0,11,1.51,2,2
0,1,0,11,1.4,2,2
0,0,0,2,2.753,2,2
0,0,0,2,1.835,2,2
0,0,0,34,2.2,2,2
0,0,0,34,1.7,2,2
0,0,0,4,1.35,2,2
0,0,0,4,1.055,2,2
0,0,0,4,1.0,2,2
0,0,0,4,0.8,2,2
0,2,0,37,0.07,17,1
0,2,0,38,0.42923,4,2
0,0,0,11,1.6,3,2
0,0,0,11,1.45,3,2
0,1,0,4,1.54,2,2
0,1,0,4,1.43,2,2
0,1,0,2,0.7899,5,2
0,1,0,2,0.51039,5,2
0,2,0,2,1.9,2,2
0,2,0,2,1.2,2,2
0,1,0,2,0.85066,5,2
0,1,0,2,0.51039,5,2
0,1,0,2,1.09371,5,2
0,1,0,2,0.72914,5,2
0,0,0,11,1.5,2,2
0,0,0,11,1.11,2,2
0,3,0,11,2.65,2,2
0,3,0,11,2.35,2,2
0,2,0,2,1.21093,10,0
1,1,0,2,0.73546,4,2
0,0,0,11,1.6,2,2
0,0,0,11,1.3,2,2
0,1,0,11,0.75,2,2
0,1,0,11,0.604,2,2
0,2,0,4,0.85,2,2
0,2,0,4,0.75,2,2
0,0,0,11,2.52,2,2
0,0,0,11,1.29,2,2
0,2,0,11,0.927,2,2
0,2,0,11,0.618,2,2
1,0,0,39,1.72309,15,0
0,1,0,2,0.60093,4,2
0,1,0,4,0.835,2,2
0,1,0,4,0.525,2,2
0,0,0,2,2.01036,2,2
0,0,0,2,1.34024,2,2
0,0,0,4,1.65,2,2
0,0,0,4,1.4,2,2
0,2,0,11,0.62,2,2
0,2,0,11,0.58,2,2
0,0,0,2,1.72,2,2
0,0,0,2,1.15,2,2
0,2,0,11,1.25,2,2
0,2,0,11,0.9,2,2
0,0,0,11,1.638,2,2
0,0,0,11,1.26,2,2
0,0,0,2,2.37,2,2
0,0,0,2,1.45,2,2
0,1,0,11,0.9,2,2
0,1,0,11,0.9,2,2
0,0,0,11,1.395,2,2
0,0,0,11,1.094,2,2
0,0,0,2,2.58,3,2
0,0,0,2,1.9,3,2
0,1,0,11,1.45,2,2
0,1,0,11,1.2,2,2
0,0,0,11,2.056,2,0
0,0,0,11,1.057,2,0
0,0,0,11,2.52,2,2
0,0,0,11,1.29,2,2
0,0,0,2,2.39748,2,2
0,0,0,2,1.59832,2,2
0,0,0,2,1.863,2,2
0,0,0,2,1.025,2,2
0,0,0,11,1.65,2,2
0,0,0,11,1.323,2,2
0,0,0,2,1.9,2,2
0,0,0,2,1.26,2,2
0,0,0,15,1.4904,2,2
0,0,0,15,1.139,2,2
0,0,0,11,1.536,2,2
0,0,0,11,1.068,2,2
0,0,0,11,1.726,2,2
0,0,0,11,1.079,2,2
0,0,0,4,1.8018,2,2
0,0,0,4,1.0602,2,2
0,0,0,15,3.7608,2,2
0,0,0,15,2.1312,2,2
0,0,0,4,1.536,2,2
0,0,0,4,1.005,2,2
0,0,0,4,2.065,2,2
0,0,0,4,1.216,2,2
0,0,0,11,2.6,2,2
0,0,0,11,2.25,2,2
0,3,0,11,1.945,2,2
0,3,0,11,1.155,2,2
0,0,0,40,1.7,2,0
0,0,0,38,0.9,2,0
0,2,0,4,0.95,2,2
0,2,0,4,0.7,2,2
0,0,0,11,2.75,2,2
0,0,0,11,1.6,2,2
0,0,0,4,1.15934,2,2
0,0,0,4,0.81666,2,2
0,0,0,2,1.75,2,2
0,0,0,2,1.2,2,2
0,0,0,9,1.5,2,2
0,0,0,9,1.2,2,2
0,0,0,6,2.0,2,2
0,0,0,6,1.75,2,2
0,1,0,4,2.06,2,2
0,1,0,4,1.3,2,2
0,0,0,15,1.38,5,2
0,0,0,15,0.92,5,2
0,0,0,27,0.65,18,2
0,0,0,27,0.48,18,2
0,0,0,4,1.1,2,2
0,0,0,4,0.75,2,2
0,0,0,7,1.3,2,2
0,0,0,7,0.87,2,2
0,1,0,4,1.6,2,2
0,1,0,4,1.12,2,2
0,1,0,11,1.625,2,2
0,1,0,11,1.3,2,2
0,0,0,26,2.995,2,2
0,0,0,26,2.451,2,2
0,1,0,2,1.45,2,2
0,1,0,2,1.0,2,2
0,0,0,11,1.471,2,2
0,0,0,11,0.907,2,2
0,2,0,11,1.151,2,2
0,2,0,11,0.739,2,2
0,0,0,11,1.684,2,2
0,0,0,11,1.052,2,2
0,0,0,2,2.1,2,2
0,0,0,2,1.6,2,2
0,1,0,2,1.45,2,2
0,1,0,2,1.0,2,2
0,0,0,3,2.222,2,0
0,0,0,3,1.36,2,0
0,1,0,4,1.0,2,2
0,1,0,4,0.85,2,2
0,1,0,11,0.85066,5,2
0,1,0,11,0.57723,5,2
0,3,0,2,2.0,2,2
0,3,0,2,1.45,2,2
0,1,0,11,1.4,2,2
0,1,0,11,0.95,2,2
0,0,0,4,1.85,2,2
0,0,0,4,1.2025,2,2
0,1,0,41,1.3,2,0
0,0,0,2,2.05,2,2
0,0,0,2,1.4,2,2
0,0,0,2,2.973,2,2
0,0,0,2,1.982,2,2
0,0,0,18,1.41288,2,2
0,0,0,18,0.94192,2,2
0,0,0,42,1.84,2,2
0,0,0,42,1.43,2,2
0,0,0,4,0.7,2,2
0,0,0,4,0.55,2,2
0,0,0,7,2.753,2,2
0,0,0,7,1.835,2,2
0,1,0,4,0.75,2,2
0,1,0,4,0.65,2,2
0,1,0,1,1.6,2,2
0,1,0,1,1.47,2,2
0,0,0,15,1.4904,2,2
0,0,0,15,1.139,2,2
0,1,0,43,0.7502,19,0
0,0,0,4,1.8018,2,2
0,0,0,4,1.0602,2,2
0,1,0,2,0.17022,7,0
0,2,0,44,0.7,20,0
0,2,0,17,0.8,21,2
0,1,0,31,0.18238,7,0
0,1,0,9,2.5,2,2
0,1,0,9,1.5,2,2
0,0,0,11,1.395,2,2
0,0,0,11,1.094,2,2
0,0,0,2,1.05,2,2
0,0,0,2,0.7,2,2
0,3,0,11,2.10914,2,2
0,3,0,11,1.16704,2,2
0,2,0,18,1.5,2,2
0,2,0,18,1.0,2,2
0,0,0,11,1.46,2,2
0,0,0,11,0.75,2,2
0,2,0,4,0.75,2,2
0,2,0,4,0.6,2,2
0,1,0,7,1.857,2,2
0,1,0,7,1.65,2,2
